subjects,verbs,objects,sentences,,,,,,,,,,,,,,,,,,,,,,
میں,پینا,دودھ,میں دودھ پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پینا,جوس,میں جوس پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پینا,کافی,میں کافی پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پینا,چائے,میں چائے پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,پینا,پانی,میں پانی پینا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,سبزیاں,میں سبزیاں کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,پھل,میں پھل کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,چاول,میں چاول کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,ڈبل روٹی,میں ڈبل روٹی کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,انڈہ,میں انڈہ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,ٹافی,میں ٹافی کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,روٹی ,میں روٹی کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,ڈبل روٹی جیم,میں ڈبل روٹی جیم کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,چاکلیٹ,میں چاکلیٹ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,بسکٹ,میں بسکٹ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,آئس کریم,میں آئس کریم کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,برگر,میں برگر کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,سینڈوچ,میں سینڈوچ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
میں,کھانا,سوپ,میں سوپ کھانا چاہتا ہوں۔,,,,,,,,,,,,,,,,,,,,,,
